citizen_id,name,age,gender,occupation,annual_income,land_acres,bpl_card,caste,state,district,booth_id,disability,widow,bank_account,phone,marital_status,education,family_size,children_count
C001,Ravi Patil,44,Male,Farmer,110000,2.5,Yes,OBC,Maharashtra,Nashik,41,No,No,Yes,9876543201,Married,Primary,5,3
C002,Sunita Devi,38,Female,Homemaker,80000,0,Yes,SC,Maharashtra,Nashik,41,No,No,Yes,9876543202,Married,Illiterate,4,2
C003,Manoj Yadav,29,Male,Daily Wage,60000,0,Yes,OBC,Maharashtra,Nashik,42,No,No,Yes,9876543203,Married,Secondary,3,1
C004,Priya Sharma,52,Female,Farmer,140000,1.8,No,General,Maharashtra,Nashik,43,No,No,Yes,9876543204,Married,Graduate,4,2
C005,Arun Nair,61,Male,Retired,50000,0,No,General,Maharashtra,Nashik,44,No,No,Yes,9876543205,Married,Graduate,2,2
C006,Lata Kulkarni,67,Female,Homemaker,30000,0,Yes,SC,Maharashtra,Nashik,43,No,Yes,Yes,9876543206,Widowed,Illiterate,1,0
C007,Deepak More,45,Male,Farmer,100000,3.2,Yes,OBC,Maharashtra,Nashik,42,No,No,Yes,9876543207,Married,Primary,6,4
C008,Rohit Singh,27,Male,Student,0,0,Yes,General,Maharashtra,Nashik,44,No,No,No,9876543208,Unmarried,Graduate,4,0
C009,Kavita Jadhav,34,Female,Farmer,120000,1.2,No,OBC,Maharashtra,Nashik,41,No,No,Yes,9876543209,Married,Secondary,3,2
C010,Suresh Kamble,55,Male,Daily Wage,72000,0,Yes,SC,Maharashtra,Nashik,41,No,No,Yes,9876543210,Married,Primary,5,3
C011,Rekha Bansode,42,Female,Farmer,95000,2.0,Yes,SC,Maharashtra,Nashik,42,No,No,Yes,9876543211,Married,Primary,4,2
C012,Prakash Gaikwad,36,Male,Small Business,180000,0,No,OBC,Maharashtra,Nashik,43,No,No,Yes,9876543212,Married,Secondary,4,2
C013,Anita Shinde,48,Female,Homemaker,55000,0,Yes,ST,Maharashtra,Nashik,44,No,No,Yes,9876543213,Married,Illiterate,5,3
C014,Vijay Pawar,63,Male,Farmer,85000,1.5,Yes,OBC,Maharashtra,Nashik,41,Yes,No,Yes,9876543214,Married,Primary,4,2
C015,Meena Thorat,71,Female,Homemaker,25000,0,Yes,SC,Maharashtra,Nashik,42,No,Yes,Yes,9876543215,Widowed,Illiterate,2,2
C016,Amitabh Verma,50,Male,Farmer,120000,3.0,Yes,OBC,Uttar Pradesh,Lucknow,45,No,No,Yes,9876543226,Married,Primary,6,4
C017,Sunita Kumari,35,Female,Homemaker,60000,0,Yes,SC,Uttar Pradesh,Lucknow,45,No,No,Yes,9876543227,Married,Illiterate,5,3
C018,Rajesh Kumar,42,Male,Daily Wage,75000,0,Yes,OBC,Uttar Pradesh,Lucknow,46,No,No,Yes,9876543228,Married,Secondary,4,2
C019,Geeta Devi,28,Female,Farmer,95000,1.5,Yes,SC,Uttar Pradesh,Lucknow,46,No,No,Yes,9876543229,Married,Primary,3,1
C020,Mohan Lal,65,Male,Retired,45000,0,Yes,General,Uttar Pradesh,Lucknow,47,No,No,Yes,9876543230,Married,Graduate,2,2
C021,Seema Gupta,55,Female,Homemaker,40000,0,Yes,OBC,Uttar Pradesh,Lucknow,47,No,Yes,Yes,9876543231,Widowed,Primary,3,3
C022,Sunil Yadav,38,Male,Farmer,110000,2.2,Yes,OBC,Uttar Pradesh,Lucknow,48,No,No,Yes,9876543232,Married,Secondary,5,3
C023,Radha Sharma,45,Female,Farmer,130000,1.8,No,General,Uttar Pradesh,Lucknow,48,No,No,Yes,9876543233,Married,Graduate,4,2
C024,Dinesh Tiwari,60,Male,Daily Wage,70000,0,Yes,OBC,Uttar Pradesh,Lucknow,49,No,No,Yes,9876543234,Married,Primary,5,3
C025,Kamla Devi,70,Female,Homemaker,22000,0,Yes,SC,Uttar Pradesh,Lucknow,49,No,Yes,Yes,9876543235,Widowed,Illiterate,1,4
